"Reporting starts","Reporting ends","Ad name","Ad delivery","Attribution setting",Results,"Result indicator",Reach,Frequency,"Cost per results","Ad set budget","Ad set budget type","Amount spent (CAD)",Ends,"Quality ranking","Engagement rate ranking","Conversion rate ranking",Impressions,"CPM (cost per 1,000 impressions) (CAD)","Link clicks",shop_clicks,"CPC (cost per link click) (CAD)","CTR (link click-through rate)","Clicks (all)","CTR (all)","CPC (all) (CAD)","Landing page views","Cost per landing page view (CAD)"
2026-06-15,2026-07-21,"Human-Shot Image",inactive,"7-day click, 1-day view, or 1-day engaged-view",114,actions:offsite_conversion.fb_pixel_view_content,8841,1.0169664065151,1.74526316,"Using campaign budget",0,198.96,2026-06-23,-,-,-,8991,22.13,103,,1.93165,0.773622,130,1.45,1.53,94,2.116596
2026-06-15,2026-07-21,"AI-Generated Image",inactive,"7-day click, 1-day view, or 1-day engaged-view",468,actions:offsite_conversion.fb_pixel_view_content,14125,1.2176283185840708,0.42660256,"Using campaign budget",0,199.65,2026-06-23,-,-,-,17199,11.61,446,,0.447646,2.121385,512,2.98,0.39,439,0.454784
