Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
P0082,APPROVED,Not Applicable,2025-10-04T20:28:28.233000Z,2025-10-04T20:31:34.276000Z,2025-10-05T14:15:51.318000Z,2025-10-04T20:31:34.699282Z,187.0,1727,"Spanish, English",33,Male,White,Chile,Chile,Chile,Spanish,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
P0069,APPROVED,Not Applicable,2025-10-04T20:28:27.388000Z,2025-10-04T20:31:32.253000Z,2025-10-05T14:15:51.608000Z,2025-10-04T20:31:36.516767Z,185.0,194,English,33,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time
P0095,APPROVED,Not Applicable,2025-10-04T20:28:28.207000Z,2025-10-04T20:35:59Z,2025-10-05T14:15:51.869000Z,2025-10-04T20:36:01.130583Z,451.0,595,English,65,Female,Black,South Africa,South Africa,South Africa,English,DATA_EXPIRED,DATA_EXPIRED
P0028,APPROVED,Not Applicable,2025-10-04T20:28:27.864000Z,2025-10-04T20:30:09.499000Z,2025-10-05T14:15:52.169000Z,2025-10-04T20:30:12.270712Z,102.0,2475,English,38,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
P0014,APPROVED,Not Applicable,2025-10-04T20:28:25.437000Z,2025-10-04T20:29:42.279000Z,2025-10-05T14:15:52.442000Z,2025-10-04T20:29:44.973730Z,77.0,784,English,29,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
P0088,APPROVED,Not Applicable,2025-10-04T20:28:27.663000Z,2025-10-04T20:32:17.852000Z,2025-10-05T14:15:52.732000Z,2025-10-04T20:32:19.808037Z,231.0,989,English,30,Female,Black,Nigeria,United Kingdom,Nigeria,English,DATA_EXPIRED,Full-Time
P0046,APPROVED,Not Applicable,2025-10-04T20:28:30.347000Z,2025-10-04T20:30:31.740000Z,2025-10-05T14:15:52.987000Z,2025-10-04T20:30:35.774933Z,122.0,872,"Spanish, English",37,Female,White,Mexico,Mexico,Mexico,Spanish,No,Full-Time
P0007,APPROVED,Not Applicable,2025-10-04T20:28:26.333000Z,2025-10-04T20:29:36.410000Z,2025-10-05T14:15:53.258000Z,2025-10-04T20:29:38.745168Z,71.0,5150,English,37,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
P0055,APPROVED,Not Applicable,2025-10-04T20:28:30.229000Z,2025-10-04T20:31:01.873000Z,2025-10-05T14:15:53.546000Z,2025-10-04T20:31:02.284325Z,152.0,496,English,28,Female,Black,Nigeria,United Kingdom,Nigeria,English,No,Full-Time
P0044,APPROVED,Not Applicable,2025-10-04T20:28:28.781000Z,2025-10-04T20:30:31.803000Z,2025-10-05T14:15:53.837000Z,2025-10-04T20:30:33.576756Z,124.0,283,"Afrikaans, English, Twi, Other",54,Male,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
P0043,APPROVED,Not Applicable,2025-10-04T20:28:28.060000Z,2025-10-04T20:30:31.614000Z,2025-10-05T14:15:54.136000Z,2025-10-04T20:30:32.941366Z,124.0,156,"Amharic, English",19,Male,Black,Ethiopia,Canada,Ethiopia,Amharic,Yes,Due to start a new job within the next month
P0085,APPROVED,Not Applicable,2025-10-04T20:28:27.074000Z,2025-10-04T20:31:44.914000Z,2025-10-05T14:15:54.408000Z,2025-10-04T20:31:46.642204Z,198.0,515,English,22,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
P0033,APPROVED,Not Applicable,2025-10-04T20:28:29.240000Z,2025-10-04T20:30:10.655000Z,2025-10-05T14:15:54.645000Z,2025-10-04T20:30:11.016368Z,102.0,1874,"English, French",24,Female,White,France,France,France,French,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
P0042,APPROVED,Not Applicable,2025-10-04T20:28:31.834000Z,2025-10-04T20:30:32.533000Z,2025-10-05T14:15:54.882000Z,2025-10-04T20:30:34.447366Z,121.0,2323,English,57,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
P0017,APPROVED,Not Applicable,2025-10-04T20:28:27.859000Z,2025-10-04T20:29:45.924000Z,2025-10-05T14:15:55.146000Z,2025-10-04T20:29:55.480593Z,79.0,178,"Portuguese, English",22,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,Part-Time
P0093,APPROVED,Not Applicable,2025-10-04T20:30:27.956000Z,2025-10-04T20:33:01.253000Z,2025-10-05T14:15:55.398000Z,2025-10-04T20:33:03.343621Z,154.0,617,English,29,Male,Black,South Africa,South Africa,South Africa,English,No,Full-Time
P0016,APPROVED,Not Applicable,2025-10-04T20:28:31.922000Z,2025-10-04T20:29:43.795000Z,2025-10-05T14:15:55.666000Z,2025-10-04T20:29:47.359590Z,72.0,658,"Dutch, English, German",32,Male,White,Netherlands,Netherlands,Netherlands,Dutch,No,Full-Time
P0022,APPROVED,Not Applicable,2025-10-04T20:28:25.080000Z,2025-10-04T20:29:52.941000Z,2025-10-05T14:15:55.936000Z,2025-10-04T20:29:56.635851Z,88.0,4644,English,43,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
P0100,APPROVED,Not Applicable,2025-10-04T20:28:32.603000Z,2025-10-04T20:31:35.593000Z,2025-10-05T14:15:56.204000Z,2025-10-04T20:31:37.840936Z,183.0,152,"Polish, English",24,Female,White,Poland,Poland,Poland,Polish,Yes,Unemployed (and job seeking)
P0083,APPROVED,Not Applicable,2025-10-04T20:28:26.914000Z,2025-10-04T20:31:34.471000Z,2025-10-05T14:15:56.467000Z,2025-10-04T20:31:34.893371Z,188.0,861,"Arabic, French, English",36,Female,Mixed,Tunisia,France,Tunisia,French,No,Full-Time
P0092,APPROVED,Not Applicable,2025-10-04T20:28:26.317000Z,2025-10-04T20:32:52.226000Z,2025-10-05T14:15:56.762000Z,2025-10-04T20:32:55.285325Z,266.0,1533,English,40,Male,White,Italy,Italy,Italy,Italian,No,Unemployed (and job seeking)
P0018,APPROVED,Not Applicable,2025-10-04T20:28:27.823000Z,2025-10-04T20:29:50.421000Z,2025-10-05T14:15:57.087000Z,2025-10-04T20:29:57.439889Z,83.0,573,English,29,Male,Black,South Africa,South Africa,South Africa,English,Yes,DATA_EXPIRED
P0098,APPROVED,Not Applicable,2025-10-04T20:28:27.497000Z,2025-10-04T20:40:53.872000Z,2025-10-05T14:15:57.357000Z,2025-10-04T20:40:55.457442Z,747.0,1966,"English, Spanish",56,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
P0089,APPROVED,Not Applicable,2025-10-04T20:28:28.126000Z,2025-10-04T20:32:28.936000Z,2025-10-05T14:15:57.582000Z,2025-10-04T20:32:37.886760Z,241.0,758,English,25,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
P0030,APPROVED,Not Applicable,2025-10-04T20:28:34.246000Z,2025-10-04T20:30:06.595000Z,2025-10-05T14:15:57.827000Z,2025-10-04T20:30:13.703103Z,93.0,2874,"English, Italian, Japanese, Spanish",47,Female,White,Italy,Italy,Italy,Italian,Yes,Full-Time
P0048,APPROVED,Not Applicable,2025-10-04T20:28:32.980000Z,2025-10-04T20:30:42.275000Z,2025-10-05T14:15:58.094000Z,2025-10-04T20:30:46.467745Z,130.0,2614,English,51,Male,White,Canada,United States,Canada,English,No,Full-Time
P0077,APPROVED,Not Applicable,2025-10-04T20:28:29.079000Z,2025-10-04T20:31:28.015000Z,2025-10-05T14:15:58.357000Z,2025-10-04T20:31:32.136715Z,179.0,922,English,38,Female,Black,United States,South Africa,United States,English,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
P0026,APPROVED,Not Applicable,2025-10-04T20:28:35.526000Z,2025-10-04T20:29:57.171000Z,2025-10-05T14:15:58.593000Z,2025-10-04T20:29:59.377625Z,82.0,2761,"English, Italian, Spanish",29,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
P0049,APPROVED,Not Applicable,2025-10-04T20:28:29.705000Z,2025-10-04T20:30:39.973000Z,2025-10-05T14:15:58.849000Z,2025-10-04T20:30:41.657896Z,131.0,486,"Arabic, English, French",26,Male,White,Algeria,France,Algeria,Arabic,Yes,Unemployed (and job seeking)
P0094,APPROVED,Not Applicable,2025-10-04T20:28:36.771000Z,2025-10-04T20:33:45.380000Z,2025-10-05T14:15:59.111000Z,2025-10-04T20:33:45.863930Z,309.0,502,"English, Other",42,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
P0027,APPROVED,Not Applicable,2025-10-04T20:28:34.274000Z,2025-10-04T20:30:01.660000Z,2025-10-05T14:15:59.375000Z,2025-10-04T20:30:02.106500Z,88.0,353,English,41,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,Full-Time
P0021,APPROVED,Not Applicable,2025-10-04T20:28:33.789000Z,2025-10-04T20:29:50.080000Z,2025-10-05T14:15:59.633000Z,2025-10-04T20:29:52.606702Z,77.0,249,"French, English",36,Female,White,France,France,France,French,No,Full-Time
P0015,APPROVED,Not Applicable,2025-10-04T20:28:30.620000Z,2025-10-04T20:29:44.100000Z,2025-10-05T14:15:59.863000Z,2025-10-04T20:29:56.220863Z,74.0,6141,English,50,Female,White,United States,United States,United States,English,No,Other
P0070,APPROVED,Not Applicable,2025-10-04T20:28:31.668000Z,2025-10-04T20:31:22.568000Z,2025-10-05T14:16:00.133000Z,2025-10-04T20:31:24.708265Z,171.0,400,English,24,Male,Black,South Africa,South Africa,South Africa,English,DATA_EXPIRED,DATA_EXPIRED
P0012,APPROVED,Not Applicable,2025-10-04T20:28:31.377000Z,2025-10-04T20:29:39.669000Z,2025-10-05T14:16:00.374000Z,2025-10-04T20:29:41.188873Z,69.0,1094,"English, Korean",29,Female,Asian,Korea,Canada,Canada,English,No,Full-Time
P0039,APPROVED,Not Applicable,2025-10-04T20:28:31.963000Z,2025-10-04T20:30:27.674000Z,2025-10-05T14:16:00.611000Z,2025-10-04T20:30:35.704167Z,116.0,5504,English,50,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
P0073,APPROVED,Not Applicable,2025-10-04T20:28:32.743000Z,2025-10-04T20:31:24.357000Z,2025-10-05T14:16:00.863000Z,2025-10-04T20:31:29.127041Z,172.0,4335,English,63,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
P0066,APPROVED,Not Applicable,2025-10-04T20:28:59.698000Z,2025-10-04T20:31:29.972000Z,2025-10-05T14:16:01.128000Z,2025-10-04T20:31:33.736215Z,151.0,1455,English,29,Female,Black,South Africa,South Africa,South Africa,English,DATA_EXPIRED,DATA_EXPIRED
P0020,APPROVED,Not Applicable,2025-10-04T20:28:35.843000Z,2025-10-04T20:29:46.551000Z,2025-10-05T14:16:01.377000Z,2025-10-04T20:29:50.283671Z,71.0,11467,English,38,Male,White,United States,United States,United States,English,No,Full-Time
P0054,APPROVED,Not Applicable,2025-10-04T20:28:33.791000Z,2025-10-04T20:30:56.457000Z,2025-10-05T14:16:01.600000Z,2025-10-04T20:30:58.186419Z,143.0,2464,English,44,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
P0065,APPROVED,Not Applicable,2025-10-04T20:28:38.862000Z,2025-10-04T20:31:23.751000Z,2025-10-05T14:16:01.834000Z,2025-10-04T20:31:29.235393Z,165.0,8016,English,71,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
P0025,APPROVED,Not Applicable,2025-10-04T20:28:48.875000Z,2025-10-04T20:29:57.038000Z,2025-10-05T14:16:02.115000Z,2025-10-04T20:29:59.138292Z,69.0,2451,English,27,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
P0061,APPROVED,Not Applicable,2025-10-04T20:28:55.928000Z,2025-10-04T20:31:07.615000Z,2025-10-05T14:16:02.386000Z,2025-10-04T20:31:09.527303Z,132.0,4148,English,43,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
P0031,APPROVED,Not Applicable,2025-10-04T20:28:40.681000Z,2025-10-04T20:30:07.564000Z,2025-10-05T14:16:02.624000Z,2025-10-04T20:30:12.089795Z,87.0,1665,"English, German",39,Male,White,Germany,Germany,Germany,German,DATA_EXPIRED,DATA_EXPIRED
